Auteur,Degré,Clustering,Centralité Intermédiarité,Excentricité,Domaine_Dominant
Ruth Durrer,3.5,0.0659340659340659,1.126796178141376e-06,5.0,Physique (Autre)
S. Gadrat,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
David Friedenberg,0.5,0.0,0.0,5.0,Vision par Ordinateur
Reda Boumasmoud,0.5,0.0,0.0,5.0,Machine Learning
M. Francesconi,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Martin G Cohen,0.5,0.0,0.0,5.0,Maths (Autre)
Divij Ohri,1.0,0.0,9.343615658963245e-09,5.0,Machine Learning
M. R. Masullo,1.0,0.0,3.708816009861948e-08,5.0,Maths (Autre)
Irma Aracely Quispe Neira,10.0,0.0525641025641025,1.8748385173239512e-06,5.0,Informatique (Autre)
Frederic Mentink-Vigier,0.5,0.0,0.0,5.0,Maths (Autre)
Thomas L. Landecker,0.5,0.0,0.0,5.0,IA
Richard Watkins,3.5,0.0769230769230769,5.294182301440742e-07,5.0,Physique (Autre)
Wenna Du,0.5,0.0,0.0,5.0,Maths (Autre)
Marina Yoshimoto,1.0,0.0,7.382986495940713e-06,5.0,Physique (Autre)
Alberto Camacho,0.5,0.0,0.0,5.0,IA
Garry Kuwanto,0.5,0.0,0.0,5.0,Vision par Ordinateur
E. Krause,4.5,0.0326797385620915,5.106665412313305e-06,5.0,Physique (Autre)
B. Todd,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Ron F. Del Rosario,0.5,0.0,0.0,5.0,Réseaux de Neurones
Guoping Liu,0.5,0.0,0.0,5.0,Vision par Ordinateur
B. Seeber,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Gregorio Alanis-Lobato,0.5,0.0,0.0,5.0,Vision par Ordinateur
E. F. C. Driessen,0.5,0.0,0.0,5.0,Physique (Autre)
Byungjoo Kim,2.0,0.2142857142857142,0.0,5.0,Traitement du Langage
Divya Agrawal,0.5,0.0,0.0,5.0,Économie
T. Peacock,1.5,0.0666666666666666,5.108022005373414e-09,5.0,Vision par Ordinateur
Jiangjiang Huang,0.5,0.0,0.0,5.0,IA
Rafael Cabral,0.5,0.0,0.0,5.0,Maths (Autre)
Ł ukasz Stawarz,0.5,0.0,0.0,5.0,Vision par Ordinateur
Eunchul Kim,2.0,0.0,2.6240511985520243e-09,5.0,Autre
Shi-Jun Dang,0.5,0.0,0.0,5.0,Machine Learning
Yujia Bao,0.5,0.0,0.0,5.0,Machine Learning
M. Rodozov,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
E. Kennedy,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Radomir Šmída,2.5,0.0222222222222222,3.428384047765576e-07,5.0,Physique (Autre)
Sharon R. Jelinsky,1.0,0.0,2.42412141915338e-07,5.0,IA
J. Beringer,3.5,0.0439560439560439,1.3735699440076132e-06,5.0,Informatique (Autre)
Vicente Cambrón,0.5,0.0,0.0,5.0,Autre
Baocheng Zhang,0.5,0.0,0.0,5.0,Autre
A. Zech,5.0,0.0157894736842105,4.698773409472778e-06,5.0,Physique (Autre)
M. Nordberg,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Norbert Schartel,1.5,0.0,1.0038332902695402e-06,5.0,Vision par Ordinateur
J. -U. Ness,0.5,0.0,0.0,5.0,Statistiques (Autre)
Bob M. Jacobs,0.5,0.0,0.0,5.0,Physique (Autre)
Cong Guan,1.0,0.0,1.0566408192858034e-08,5.0,Maths (Proba)
Yuxiong He,1.0,0.1666666666666666,0.0,5.0,Autre
Youtarou Takahashi,0.5,0.0,0.0,5.0,Machine Learning
Gavin P Rowell,0.5,0.0,0.0,5.0,Informatique (Autre)
R. Milner,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Geoff Gordon,0.5,0.0,0.0,5.0,Traitement du Langage
T. Hori,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
B. Joachimi,2.0,0.0357142857142857,1.699276452882259e-07,5.0,Machine Learning
Björn Trauzettel,0.5,0.0,0.0,5.0,Physique (Autre)
Guokuan Li,0.5,0.0,0.0,5.0,Machine Learning
Marshall W. Bautz,1.0,0.0,1.0067132905078324e-07,5.0,Vision par Ordinateur
Tsuyoshi Nakaya,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
KeShawn Ivory,2.0,0.0357142857142857,4.3499323254536655e-08,5.0,Autre
Pierre Miralles,1.0,0.0,1.942869971571781e-07,5.0,Physique (Autre)
A. Hekalo,0.5,0.0,0.0,5.0,Physique (Autre)
Derek B Fox,0.5,0.0,0.0,5.0,Informatique (Autre)
Remi Sommer,0.5,0.0,0.0,5.0,Traitement du Langage
Lev Haldar Kendrick,0.5,0.0,0.0,5.0,IA
Yuze Li,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
Jonathan Richard Schwarz,0.5,0.0,0.0,5.0,Maths (Proba)
Weigang Wu,0.5,0.0,0.0,5.0,Physique (Autre)
Julián Galvez Serna,0.5,0.0,0.0,5.0,Informatique (Autre)
Enric Palle,15.0,0.0186440677966101,3.6804776755161583e-05,5.0,Machine Learning
Alberto Torralba-Torregrosa,0.5,0.0,0.0,5.0,Vision par Ordinateur
Weikang Qiu,1.0,0.0,5.999814334245457e-07,5.0,Autre
Ruo-Yu Shang,1.5,0.0,1.2354483942544905e-06,5.0,Informatique (Autre)
Julio Hurtado,1.0,0.0,0.0,5.0,Vision par Ordinateur
C. Leroy,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Eric Yang,2.0,0.1071428571428571,4.023079203108182e-09,5.0,Maths (Autre)
Jiawen Kang,1.5,0.0666666666666666,3.695992401020476e-09,5.0,Statistiques (Autre)
Sarah Boufelja,0.5,0.0,0.0,5.0,Réseaux de Neurones
Lorin Crawford,0.5,0.0,0.0,5.0,Informatique (Autre)
Zenghu Chang,0.5,0.0,0.0,5.0,Machine Learning
Günter Quast,0.5,0.0,0.0,5.0,Traitement du Langage
Huiqi Li,0.5,0.0,0.0,5.0,IA
Juan D. Remolina Gonzalez,0.5,0.0,0.0,5.0,Machine Learning
João Paulo Cardoso de Lima,0.5,0.0,0.0,5.0,IA
Amoghavarsha N,0.5,0.0,0.0,5.0,Économie
Hans Dembinski,3.0,0.0454545454545454,1.329356678070326e-06,5.0,Physique (Autre)
X. Z. Cai,0.5,0.0,0.0,5.0,Physique (Autre)
Ninell Oldenburg,0.5,0.0,0.0,5.0,IA
Tongtong Cao,1.5,0.0666666666666666,3.061368829548883e-07,5.0,Maths (Autre)
M. Böhler,0.5,0.0,0.0,5.0,Machine Learning
Moisés Santos,0.5,0.0,0.0,5.0,Maths (Autre)
V. S. Ferreira,1.5,0.0666666666666666,4.0357388542133776e-08,5.0,Maths (Autre)
Erich Merrill,0.5,0.0,0.0,5.0,Machine Learning
Shreshth Malik,0.5,0.0,0.0,5.0,Traitement du Langage
L. Widhalm,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
M. Ahmed,3.0,0.0909090909090909,7.419087566518101e-09,5.0,Informatique (Autre)
Yizheng Chen,0.5,0.0,0.0,5.0,Physique (Autre)
Marko Periša,0.5,0.0,0.0,5.0,Robotique
Deepak Alapatt,5.0,0.0210526315789473,1.105834326153854e-05,5.0,Machine Learning
The Babar Collaboration,0.5,0.0,0.0,5.0,Autre
Mahdi Nazeri,0.5,0.0,0.0,5.0,Autre
Eben N. Broadbent,0.5,0.0,0.0,5.0,Machine Learning
I. Pegg,0.5,0.0,0.0,5.0,Machine Learning
Seong Hyun Park,0.5,0.0,0.0,5.0,Machine Learning
Eric Cousineau,0.5,0.0,0.0,5.0,Autre
Chad Schafer,0.5,0.0,0.0,5.0,Machine Learning
Lena Palaniyappan,0.5,0.0,0.0,5.0,Maths (Autre)
A. Bellétoile,1.0,0.0,5.480963682913398e-09,5.0,Stats & ML
Layan Alsaraya,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
M. Colapietro,2.5,0.0666666666666666,9.973477972380351e-07,5.0,Physique (Autre)
A. Kato,0.5,0.0,0.0,5.0,Machine Learning
Valentina Capalbo,1.0,0.0,2.2559191847904003e-08,5.0,Autre
M. L. Mitsou,0.5,0.0,0.0,5.0,Physique (Autre)
Nina McCurdy,0.5,0.0,0.0,5.0,Informatique (Autre)
James G. Wendelberger,0.5,0.0,0.0,5.0,Machine Learning
Stefan Immler,0.5,0.0,0.0,5.0,IA
Lindsey Li,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
Olivia Young,2.0,0.0714285714285714,0.0,5.0,Machine Learning
Claudia Ratti,0.5,0.0,0.0,5.0,Vision par Ordinateur
Jaspreet Singh Jhoja,0.5,0.0,0.0,5.0,Machine Learning
Eric Lindgren,0.5,0.0,0.0,5.0,Réseaux de Neurones
James Martin,0.5,0.0,0.0,5.0,Maths (Autre)
C. E. Covault,6.5,0.0061538461538461,2.06217669074249e-06,5.0,Machine Learning
Rebecca Mc Elroy,0.5,0.0,0.0,5.0,Machine Learning
Huayi Lai,0.5,0.0,0.0,5.0,Physique (Autre)
Konner Syed,11.0,0.0317124735729386,3.0607995995524107e-06,5.0,Machine Learning
C. A. Rhyne,5.0,0.0263157894736842,1.4457026509262505e-06,5.0,Machine Learning
David C. Van Essen,0.5,0.0,0.0,5.0,Machine Learning
Matthew Ardi,0.5,0.0,0.0,5.0,Machine Learning
Weixu Qiao,0.5,0.0,0.0,5.0,Informatique (Autre)
MAGIC Collaboration,2.0,0.0,1.569844556570388e-07,5.0,Vision par Ordinateur
Boleslaw K. Szymanski,0.5,0.0,0.0,5.0,Informatique (Autre)
Wenfang Xu,1.5,0.2,0.0,5.0,Physique (Autre)
Osama Amin,0.5,0.0,0.0,5.0,Réseaux de Neurones
Jean-Cédric Chappelier,1.0,0.0,2.1255889492977082e-08,5.0,Machine Learning
Changmo Hwang,0.5,0.0,0.0,5.0,Économie
A. Obertelli,0.5,0.0,0.0,5.0,Informatique (Autre)
Emidio Giorgio,1.0,0.0,3.8732710372357815e-09,5.0,Physique (Autre)
Zhikun Chang,0.5,0.0,0.0,5.0,Machine Learning
F. Dolon,0.5,0.0,0.0,5.0,Physique (Autre)
A. Burdyko,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Gianluca Mazzoni,0.5,0.0,0.0,5.0,IA
C. L. Hsu,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
Hans-Joachim Bungartz,1.5,0.0666666666666666,1.4929545386621612e-06,5.0,Machine Learning
Angelina McMillan-Major,8.0,0.1854838709677419,7.492506597372994e-07,5.0,IA
Steven Herbst,0.5,0.0,0.0,5.0,Informatique (Autre)
Zhuoran Xiao,0.5,0.0,0.0,5.0,Traitement du Langage
G. Comoretto,0.5,0.0,0.0,5.0,Informatique (Autre)
David Neilsen,1.0,0.0,0.0,5.0,Physique (Autre)
Shinichiro Michizono,3.5,0.0989010989010989,1.1837395277325411e-06,5.0,Informatique (Autre)
Sarahi Rosas-Gonzalez,0.5,0.0,0.0,5.0,Traitement du Langage
Kaoru Yokoya,3.5,0.0989010989010989,1.1837395277325411e-06,5.0,Informatique (Autre)
Joe Cavanagh,1.5,0.2,0.0,5.0,Traitement du Langage
Marzie Hamdast,1.0,0.0,5.60992781117875e-08,5.0,IA
David D. van Niekerk,0.5,0.0,0.0,5.0,Machine Learning
Zenan Ling,1.0,0.1666666666666666,0.0,5.0,Maths (Autre)
M. J. Szczepa_nczyk,0.5,0.0,0.0,5.0,Informatique (Autre)
Andrew Lutomirski,1.0,0.0,0.0,5.0,Autre
Morgan Lane,0.5,0.0,0.0,5.0,Physique (Autre)
Lara J. Kanbar,0.5,0.0,0.0,5.0,Statistiques (Autre)
Casey Duckering,0.5,0.0,0.0,5.0,Maths (Autre)
Rishab Pulugurta,0.5,0.0,0.0,5.0,Machine Learning
Xue Gong,0.5,0.0,0.0,5.0,Informatique (Autre)
José Manuel Nápoles-Duarte,0.5,0.0,0.0,5.0,Physique Quantique
Xiaoyong Zhu,1.0,0.0,1.0363508806676692e-07,5.0,Autre
Shanshan Kong,0.5,0.0,0.0,5.0,Physique Quantique
S. Mioduszewski,1.0,0.0,0.0,5.0,Physique (Autre)
Emily Stamos,11.0,0.0317124735729386,3.0607995995524107e-06,5.0,Machine Learning
Max Allgaier,0.5,0.0,0.0,5.0,Vision par Ordinateur
Britta Nestler,0.5,0.0,0.0,5.0,Traitement du Langage
D. M. Madagodahettige-Don,0.5,0.0,0.0,5.0,Vision par Ordinateur
Z. Jamie. Yao,2.0,0.0,2.937502756594768e-07,5.0,Traitement du Langage
Fritz Gunther,0.5,0.0,0.0,5.0,IA
Cédric Colas,1.5,0.1333333333333333,0.0,5.0,Machine Learning
Sangho Lee,1.0,0.0,2.247618624551251e-07,5.0,Physique (Autre)
Julia L. Drewes,0.5,0.0,0.0,5.0,Autre
A. Aubin,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
F. De Persio,0.5,0.0,0.0,5.0,Informatique (Autre)
Rui Shu,6.0,0.1739130434782608,4.399814770295052e-07,5.0,Machine Learning
Vincent Etter,0.5,0.0,0.0,5.0,Traitement du Langage
L. González-Cuesta,0.5,0.0,0.0,5.0,Maths (Autre)
Fazal Ghafoor,0.5,0.0,0.0,5.0,Vision par Ordinateur
MingGang Zhao,0.5,0.0,0.0,5.0,Machine Learning
Canghong Jin,0.5,0.0,0.0,5.0,Maths (Autre)
Javier Serna,5.5,0.0432900432900432,1.035754848999204e-06,5.0,Informatique (Autre)
C. S. Park,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
Eric Gustafson,0.5,0.0,0.0,5.0,Traitement du Langage
Victoria L. Butler,0.5,0.0,0.0,5.0,Autre
John Nibarger,0.5,0.0,0.0,5.0,Informatique (Autre)
Siling Lin,0.5,0.0,0.0,5.0,Maths (Autre)
P. T. Cox,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
S. X. Wang,2.0,0.0357142857142857,1.8676860236155333e-06,5.0,Maths (Autre)
C. Verbeeck,0.5,0.0,0.0,5.0,Machine Learning
Andreas Klein,0.5,0.0,0.0,5.0,Maths (Autre)
Cristian Zanoci,0.5,0.0,0.0,5.0,Physique (Autre)
Catarina E. Santo,2.0,0.0357142857142857,1.1367943386630941e-07,5.0,IA
Rudolf Hanel,0.5,0.0,0.0,5.0,Machine Learning
L. P. Rignanese,0.5,0.0,0.0,5.0,Machine Learning
Junliang Liu,0.5,0.0,0.0,5.0,Autre
ianyu Li,0.5,0.0,0.0,5.0,Économie
Roeland P. Van Der Marel,10.0,0.0525641025641025,1.8748385173239512e-06,5.0,Informatique (Autre)
M. Biglietti,2.5,0.0222222222222222,1.4830872032689513e-06,5.0,Maths (Proba)
Neil Chowdhury,10.5,0.1184668989547038,2.950594534922857e-05,5.0,Machine Learning
A. Lemiere,1.5,0.0,1.716296083031921e-07,5.0,Physique (Autre)
Adrien Hardy,0.5,0.0,0.0,5.0,Physique (Autre)
P. Slattery,1.0,0.0,4.1130574501835335e-09,5.0,Machine Learning
P. Eugenio,1.0,0.0,0.0,5.0,IA
E. Segura,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Eduardo Tapia,0.5,0.0,0.0,5.0,Machine Learning
Marcello Herreshoff,0.5,0.0,0.0,5.0,Machine Learning
Eric Alcaide,1.0,0.1666666666666666,0.0,5.0,Traitement du Langage
Saya Yamamoto,0.5,0.0,0.0,5.0,Informatique (Autre)
Geoffrey C. Clayton,0.5,0.0,0.0,5.0,Stats & ML
Anne-Sophie Berthold,0.5,0.0,0.0,5.0,Machine Learning
Jonathan Birch,0.5,0.0,0.0,5.0,Traitement du Langage
V. A. Nikonov,0.5,0.0,0.0,5.0,Physique (Autre)
Oscar Veenema,1.5,0.0,1.4618763088947162e-07,5.0,Informatique (Autre)
Eun-Joo Ahn,2.5,0.0222222222222222,3.428384047765576e-07,5.0,Physique (Autre)
Namu Kroupa,0.5,0.0,0.0,5.0,Physique (Autre)
Isha Puri,0.5,0.0,0.0,5.0,IA
Joseph Lee,0.5,0.0,0.0,5.0,Machine Learning
Meghana Shamsunder,1.0,0.1666666666666666,0.0,5.0,IA
V. Zacek,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
D. Chernyak,1.0,0.0,1.9209993595836763e-08,5.0,Maths (Autre)
J. Anguiano,0.5,0.0,0.0,5.0,Machine Learning
The CHIME/FRB Collaboration,1.0,0.0,0.0,5.0,IA
Akihiro Hayashi,0.5,0.0,0.0,5.0,Informatique (Autre)
V. Knünz,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Christopher Lane,0.5,0.0,0.0,5.0,Physique (Autre)
Priyanka Lamba,0.5,0.0,0.0,5.0,Machine Learning
Hongyan Xie,0.5,0.0,0.0,5.0,Informatique (Autre)
Matthias Ohrnberger,0.5,0.0,0.0,5.0,Informatique (Autre)
Kaustav Das,0.5,0.0,0.0,5.0,Physique (Autre)
S. Shaw,6.0,0.0217391304347826,2.5610536340536783e-06,5.0,Machine Learning
Kent Wood,1.0,0.0,3.498956289149646e-07,5.0,IA
Jose Dias Do Nascimento,1.0,0.0,3.348962351878981e-08,5.0,Physique (Autre)
G. Illuminati,6.0,0.0108695652173913,4.538832854450448e-06,5.0,Machine Learning
S. Gratton,1.5,0.0,2.247965191770617e-08,5.0,Machine Learning
Anupam Chattopadhyay,0.5,0.0,0.0,5.0,Informatique (Autre)
Netanel Lindner,0.5,0.0,0.0,5.0,Machine Learning
T. R. Marsh,0.5,0.0,0.0,5.0,Machine Learning
A. C. Koenig,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Terrence Zhao,0.5,0.0,0.0,5.0,Informatique (Autre)
Kevin Clark,1.0,0.0,5.729161784984171e-07,5.0,Traitement du Langage
Christine Boyer,11.0,0.0317124735729386,3.060799826926086e-06,5.0,Machine Learning
Ruxi Deng,0.5,0.0,0.0,5.0,Autre
Zhiyong Mao,0.5,0.0,0.0,5.0,Machine Learning
Elliot Paquette,0.5,0.0,0.0,5.0,Informatique (Autre)
Guo-Hua Wang,0.5,0.0,0.0,5.0,Maths (Autre)
Fedor Simkovic,2.5,0.0222222222222222,1.305166961174109e-07,5.0,Machine Learning
Hins Hu,0.5,0.0,0.0,5.0,Traitement du Langage
Viktor Kiss,0.5,0.0,0.0,5.0,Maths (Autre)
J. Cain,1.0,0.0,1.814911065878277e-08,5.0,IA
Noa Nabeshima,1.5,0.0666666666666666,8.284996511065401e-08,5.0,Machine Learning
A. R. Wasserman,1.0,0.0,1.5010577669727354e-08,5.0,Vision par Ordinateur
Zhijie Li,0.5,0.0,0.0,5.0,Autre
Shuai Lu,0.5,0.0,0.0,5.0,Physique (Autre)
Gaurav Aggarwal,1.0,0.0,7.581513727927813e-08,5.0,Machine Learning
Marcus J. Kitchen,0.5,0.0,0.0,5.0,IA
Zike Wu,0.5,0.0,0.0,5.0,Machine Learning
Janghyeon Lee,0.5,0.0,0.0,5.0,Machine Learning
Sheng Guo,3.0,0.0,1.3420610400771693e-07,5.0,IA
Yangfeng Su,0.5,0.0,0.0,5.0,Statistiques (Autre)
James Johnson,1.5,0.1333333333333333,1.347425904185684e-08,5.0,Informatique (Autre)
Jane de Tisi,0.5,0.0,0.0,5.0,Machine Learning
Guijin Son,3.5,0.0219780219780219,8.277776260001701e-07,5.0,Informatique (Autre)
A. Gúrpide,0.5,0.0,0.0,5.0,Informatique (Autre)
Panigrahy Sandhyarani,1.0,0.0,2.7843414684980416e-08,5.0,Vision par Ordinateur
Y. Petrov,3.0,0.0151515151515151,3.102453547398909e-06,5.0,Physique (Autre)
Leticia Dutra Ferreira,1.5,0.0,4.167221163697832e-07,5.0,Traitement du Langage
Indranil Das,3.0,0.0454545454545454,8.116464869090123e-07,5.0,Machine Learning
Rundong Xue,0.5,0.0,0.0,5.0,Maths (Autre)
Hei Long Chan,0.5,0.0,0.0,5.0,Machine Learning
Yitong Huang,0.5,0.0,0.0,5.0,IA
Musaab Al-Bakry,1.0,0.0,8.013890351321606e-08,5.0,Maths (Autre)
Francesco Brizioli,1.0,0.0,4.1862504573941806e-09,5.0,Informatique (Autre)
Niranjan Thatte,0.5,0.0,0.0,5.0,Informatique (Autre)
Rong Chai,1.5,0.0,8.689340091905252e-08,5.0,Informatique (Autre)
Alistair R. Milne,2.0,0.0357142857142857,2.0367178876767866e-07,5.0,Machine Learning
R. Boninsegna,0.5,0.0,0.0,5.0,Machine Learning
Adarsh Bathula,0.5,0.0,0.0,5.0,Machine Learning
T. Birol,0.5,0.0,0.0,5.0,Autre
Roger Kieckhafer,2.5,0.0222222222222222,3.428384047765576e-07,5.0,Physique (Autre)
Tom Bosc,2.5,0.2222222222222222,0.0,5.0,Machine Learning
Adam Para,0.5,0.0,0.0,5.0,Autre
J. Castillo Castellanos,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Giulia De Somma,3.0,0.0909090909090909,4.845219905291742e-07,5.0,Physique (Autre)
Sylvia Biscoveanu,0.5,0.0,0.0,5.0,Traitement du Langage
Tom Polakis,0.5,0.0,0.0,5.0,Traitement du Langage
D. Rohrich,0.5,0.0,0.0,5.0,Vision par Ordinateur
Louise Dyson,0.5,0.0,0.0,5.0,Autre
A. Lorenzetti,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Aalap Tripathy,0.5,0.0,0.0,5.0,Informatique (Autre)
Don Mitchell,1.5,0.0,6.221478798806859e-08,5.0,Informatique (Autre)
Md Mofijul Islam,1.0,0.1666666666666666,0.0,5.0,Machine Learning
I. Fajardo Tapia,0.5,0.0,0.0,5.0,Physique (Autre)
A. Strandlie,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Lifang Wang,0.5,0.0,0.0,5.0,Informatique (Autre)
R. Collins,2.0,0.0357142857142857,1.700339993249145e-07,5.0,Autre
Anna Liptrott,0.5,0.0,0.0,5.0,Maths (Autre)
Shichao Song,1.0,0.0,6.230528697415139e-07,5.0,Maths (Autre)
Savannah Shively,1.5,0.0,5.590079013018112e-07,5.0,Traitement du Langage
T. Prod'homme,0.5,0.0,0.0,5.0,Informatique (Autre)
Y. Gurov,0.5,0.0,0.0,5.0,Machine Learning
Maria Rugenstein,0.5,0.0,0.0,5.0,Machine Learning
H. Nolte,0.5,0.0,0.0,5.0,Physique (Autre)
Jorge Otero-Santos,1.0,0.0,9.640210407724228e-08,5.0,Autre
Britt Lundgren,4.0,0.0166666666666666,2.543540631450014e-06,5.0,Traitement du Langage
Edward Raff,1.5,0.0666666666666666,0.0,5.0,Vision par Ordinateur
H. J. Arends,0.5,0.0,0.0,5.0,Traitement du Langage
Shuyu Yang,1.5,0.2,0.0,5.0,Machine Learning
Andrew Spencer,0.5,0.0,0.0,5.0,Informatique (Autre)
Nahyuk Lee,0.5,0.0,0.0,5.0,Ingénierie (Signal)
Si Cheng,0.5,0.0,0.0,5.0,Traitement du Langage
Kanav Mehra,0.5,0.0,0.0,5.0,Informatique (Autre)
V. Kartvelishvili,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Donny Y. Chen,0.5,0.0,0.0,5.0,Maths (Autre)
Shuaijun Li,0.5,0.0,0.0,5.0,Traitement du Langage
T. Shirahama,0.5,0.0,0.0,5.0,Physique (Autre)
Nesreen K. Ahmed,2.0,0.0714285714285714,4.3298632590449415e-06,5.0,Informatique (Autre)
Mel Vecerik,0.5,0.0,0.0,5.0,Maths (Autre)
Aleksandra Shypitsyna,0.5,0.0,0.0,5.0,Traitement du Langage
Yasuhiro Nishikawa,1.5,0.1333333333333333,1.347425904185684e-08,5.0,Informatique (Autre)
Abel Beregi,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
Chihyo Ahn,0.5,0.0,0.0,5.0,Machine Learning
G. M. Blockinger,3.5,0.0329670329670329,3.748164374428598e-07,5.0,Machine Learning
Jinguang Liu,1.5,0.0,3.915276280963553e-08,5.0,Vision par Ordinateur
A. Stripay,1.0,0.0,2.6177387368875322e-08,5.0,Vision par Ordinateur
M. Paegert,0.5,0.0,0.0,5.0,Physique (Autre)
K. Kaufman,1.0,0.0,2.2159804657917448e-08,5.0,Machine Learning
Alfred Zong,0.5,0.0,0.0,5.0,Robotique
S. Antón,0.5,0.0,0.0,5.0,Informatique (Autre)
M. Maturi,0.5,0.0,0.0,5.0,Machine Learning
Sarah Fox,0.5,0.0,0.0,5.0,Informatique (Autre)
Ö. Penek,0.5,0.0,0.0,5.0,IA
Connor S Bailey,0.5,0.0,0.0,5.0,Informatique (Autre)
Pilar Hernandez,1.0,0.1666666666666666,0.0,5.0,IA
Emily Acosta,1.5,0.0,3.472546694638368e-08,5.0,IA
Mengchu Zhu,0.5,0.0,0.0,5.0,Réseaux de Neurones
Maurice Rekrut,0.5,0.0,0.0,5.0,Informatique (Autre)
Wenzhe Cai,0.5,0.0,0.0,5.0,Maths (Proba)
Tejs Vegge,1.5,0.0666666666666666,5.058212082076352e-06,5.0,Physique (Autre)
RuiPeng Ma,2.0,0.2142857142857142,0.0,5.0,Vision par Ordinateur
Pete Mendygral,0.5,0.0,0.0,5.0,Informatique (Autre)
Mustafa M Ahmed,0.5,0.0,0.0,5.0,Traitement du Langage
O. Nicrosini,2.0,0.0714285714285714,1.105876812346196e-08,5.0,Machine Learning
Junxing Ren,0.5,0.0,0.0,5.0,Traitement du Langage
Kyle Wray,1.0,0.0,7.735033591416141e-07,5.0,Physique (Autre)
Katharina Immer,0.5,0.0,0.0,5.0,Machine Learning
Dong Cao,0.5,0.0,0.0,5.0,Machine Learning
Henry Peng Zou,1.5,0.0,3.9842725527705625e-06,5.0,Traitement du Langage
Tetsuta Inaba,0.5,0.0,0.0,5.0,Informatique (Autre)
Mathias Risse,1.5,0.2,0.0,5.0,IA
Jen Miller,0.5,0.0,0.0,5.0,Machine Learning
Cathy Li,2.0,0.0714285714285714,2.106369265675312e-07,5.0,Physique (Autre)
David Müller,0.5,0.0,0.0,5.0,Traitement du Langage
A. Escalante Del Valle,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Pil Hwan Kim,2.0,0.0,2.6240511985520243e-09,5.0,Autre
Mo Jia,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
S. Kafka,0.5,0.0,0.0,5.0,Stats & ML
Yiwen Lu,0.5,0.0,0.0,5.0,Physique (Autre)
Nikolai Sinitsyn,0.5,0.0,0.0,5.0,Machine Learning
Stefan Goedecker,1.5,0.0,1.3266937770595176e-08,5.0,Maths (Autre)
Zhongxin Yu,1.0,0.0,3.3824751000111064e-08,5.0,Machine Learning
Sophia Tang,1.0,0.1666666666666666,0.0,5.0,Machine Learning
M. Buehler,1.0,0.0,4.1130574501835335e-09,5.0,Machine Learning
W. Bertl,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Sunayana Rane,1.0,0.1666666666666666,0.0,5.0,Informatique (Autre)
Muyun Yang,1.0,0.1666666666666666,0.0,5.0,Autre
Zhenye Li,2.0,0.0,0.0,5.0,IA
L. Hagge,0.5,0.0,0.0,5.0,Informatique (Autre)
Mung Chiang,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Jeng-Lin Li,0.5,0.0,0.0,5.0,Physique (Autre)
I. Boisse,0.5,0.0,0.0,5.0,Machine Learning
A. Robertson,1.0,0.0,2.6177387368875322e-08,5.0,Vision par Ordinateur
S. Kwan,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Flynn Devine,1.0,0.1666666666666666,0.0,5.0,Informatique (Autre)
Jishen Zhao,1.0,0.0,5.889800831937464e-06,5.0,Informatique (Autre)
Anna Vacalopoulou,2.0,0.0357142857142857,7.63539276249503e-08,5.0,Informatique (Autre)
