Auteur,Degré,Clustering,Centralité Intermédiarité,Excentricité,Domaine_Dominant
Matthew Denton,58.0,0.0882221227048813,1.7322880012216046e-05,4.0,Machine Learning
Jan Balaguer,26.0,0.0830843913368185,4.965663265465992e-06,4.0,Machine Learning
D. Wood,2.5,0.0666666666666666,2.519865347494488e-06,4.0,Physique (Autre)
Austin MacMaster,6.0,0.0398550724637681,4.230823549278284e-07,4.0,Vision par Ordinateur
N. Jovancevic,7.0,0.0529100529100529,1.5753297475384898e-06,4.0,Machine Learning
Tina Ornduff,24.0,0.0929824561403508,3.118028416793095e-06,4.0,Machine Learning
Lauren Lax,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
H. K. Lv,12.5,0.1379591836734693,1.2995269571547396e-06,4.0,Physique (Autre)
Blaž Bratanič,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
Z. Marka,8.0,0.0221774193548387,9.232766160494066e-07,4.0,Machine Learning
Yana Lunts,58.0,0.0882221227048813,1.7322880012216046e-05,4.0,Machine Learning
Youhua Xu,4.5,0.1372549019607843,2.128368521425728e-07,4.0,Machine Learning
Justin Cui,2.0,0.1785714285714285,8.256960448704831e-09,4.0,Machine Learning
Sangya Li,3.5,0.1318681318681318,2.302404595866392e-07,4.0,Statistiques (Autre)
Weihao Tan,1.0,0.1666666666666666,0.0,4.0,Physique (Autre)
G. B. Mohanty,10.5,0.0267131242740998,4.889618867309764e-05,4.0,Informatique (Autre)
Zora Tung,32.5,0.0883720930232558,7.3851088018273e-06,4.0,Machine Learning
Valentin Wolf,8.0,0.0846774193548387,1.7280141264564008e-06,4.0,Machine Learning
Alex Castro Ros,2.0,0.1071428571428571,9.266081946179838e-08,4.0,Traitement du Langage
J. Notte,2.0,0.0,4.8410910835627874e-08,4.0,Informatique (Autre)
Shilei Jiang,11.5,0.0995169082125603,1.906536908791168e-06,4.0,Maths (Autre)
D. Moraru,17.0,0.025460930640913,1.010266896628309e-05,4.0,Machine Learning
Ruqi Zhang,2.0,0.1071428571428571,2.855225886833068e-07,4.0,Machine Learning
Bairu Hou,2.0,0.1071428571428571,0.0,4.0,Machine Learning
Kaushik Rangadurai,1.0,0.1666666666666666,0.0,4.0,Ingénierie (Signal)
Zicheng Liu,5.0,0.0526315789473684,3.782318174216925e-07,4.0,Vision par Ordinateur
Nora Shipp,3.0,0.0303030303030303,3.272170090440341e-07,4.0,Informatique (Autre)
Y. C. Yang,5.5,0.0043290043290043,7.092524174368009e-05,4.0,Informatique (Autre)
Matt Wiethoff,8.5,0.2192513368983957,7.625125704180391e-07,4.0,Informatique (Autre)
Robin Riblet,24.5,0.1647380601725226,5.813915322505636e-06,4.0,Machine Learning
Kunchang Li,5.5,0.1341991341991342,3.0896643465894165e-08,4.0,Traitement du Langage
Y. K. Chu,4.5,0.0130718954248366,2.087202943812372e-07,4.0,Informatique (Autre)
E. Kearns,9.5,0.0440967283072546,8.117515790218022e-06,4.0,Machine Learning
Hyung Won Chung,22.0,0.0903866248693835,2.616677011246793e-05,4.0,Machine Learning
Alex Drlica-Wagner,7.0,0.0264550264550264,9.664417120802682e-06,4.0,Machine Learning
Yilin Liao,23.0,0.1063067367415193,4.776463811140275e-06,4.0,Machine Learning
Jiahui Peng,4.0,0.0833333333333333,1.522308252788207e-07,4.0,Autre
T. Bertheas,5.5,0.0779220779220779,2.028188959002364e-07,4.0,Vision par Ordinateur
Junhui Fan,18.0,0.0938967136150234,1.3895960364607164e-05,4.0,Physique (Autre)
Varun Kumar,19.0,0.0863157894736842,7.118128905858612e-06,4.0,Machine Learning
M. Norman,10.0,0.0448717948717948,2.1672199181921314e-06,4.0,Informatique (Autre)
Jinhao Zhang,1.0,0.0,1.034784986586601e-07,4.0,Maths (Proba)
R. D'Amico,6.0,0.0652173913043478,5.512933967111167e-07,4.0,Vision par Ordinateur
Qiaozhe Li,1.0,0.1666666666666666,0.0,4.0,Maths (Autre)
Xiangyang Li,1.0,0.1666666666666666,0.0,4.0,Physique (Autre)
Mihoko Yukita,7.5,0.0528735632183908,1.2196357602078932e-05,4.0,Machine Learning
Xuankun Rong,2.5,0.1111111111111111,4.632583170405269e-07,4.0,Machine Learning
Jiamang Wang,5.5,0.1082251082251082,1.7829461285145953e-07,4.0,Physique (Autre)
Boyu Wang,61.0,0.0827430344734534,2.111025787598919e-05,4.0,Machine Learning
Neil Shah,2.5,0.0222222222222222,6.857518428660114e-07,4.0,Machine Learning
Alex Pirozhenko,2.0,0.1071428571428571,4.96970908869798e-10,4.0,Robotique
Ryan Luo,6.5,0.1476923076923077,3.149804115309962e-07,4.0,Autre
Xinfa Zhu,2.0,0.0357142857142857,3.59661100901576e-07,4.0,Machine Learning
Wenyu Guan,4.5,0.1111111111111111,1.2433808649348066e-07,4.0,Machine Learning
Mirko Rossini,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
K. Toland,15.5,0.0280274986779481,6.961185590625973e-06,4.0,Machine Learning
Weiming Hu,4.5,0.0261437908496732,1.207980494655203e-05,4.0,Machine Learning
Lilly Taylor,24.0,0.0929824561403508,3.1180286441667704e-06,4.0,Machine Learning
Eszter Vértes,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
Ayesha Siddiqua,0.5,0.0,0.0,4.0,Physique (Autre)
Praneeth Netrapalli,58.5,0.0867172884340266,6.054331242921762e-05,4.0,Machine Learning
Pol Bordas,6.5,0.0338461538461538,1.3137027963239234e-05,4.0,Vision par Ordinateur
Xilun Wu,6.5,0.1015384615384615,1.0457879398018122e-06,4.0,Machine Learning
Weiyang Su,7.0,0.1216931216931216,1.2344360129645793e-06,4.0,Machine Learning
Xianping Yin,1.0,0.0,9.389059307807202e-09,4.0,IA
Chengru Song,2.0,0.1071428571428571,9.649642151998705e-08,4.0,Physique (Autre)
Kun Jiang,16.0,0.1006944444444444,7.410417310893536e-06,4.0,Physique (Autre)
